City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,kindu,-2.95,25.95,71.51,85,100,2.68,CD,1689210364
292,aydarken,39.9443,71.3429,68.7,26,0,6.24,KG,1689210364
293,westport,41.1415,-73.3579,82.74,69,0,4.61,US,1689210364
294,qarazhal,48.0078,70.7903,83.55,28,6,9.28,KZ,1689210364
295,armacao de buzios,-22.7469,-41.8817,71.65,86,0,17.16,BR,1689210364
296,letlhakeng,-24.0944,25.0298,43.59,80,0,6.87,BW,1689210365
297,nakonde,-9.3421,32.745,47.91,96,42,7.05,ZM,1689210365
298,alice springs,-23.7,133.8833,54.95,54,0,8.79,AU,1689210105
299,nabire,-3.3667,135.4833,81.37,82,100,1.01,ID,1689210365
300,turabah,21.2141,41.6331,82.42,21,80,6.08,SA,1689210365
301,nurabad,34.0734,47.9725,68.95,30,0,5.57,IR,1689210366
302,coquimbo,-29.9533,-71.3436,58.73,88,0,8.05,CL,1689210344
303,eyl,7.9803,49.8164,78.82,69,9,22.86,SO,1689210366
304,holualoa,19.6228,-155.9522,76.78,86,82,5.01,US,1689210366
305,sansanne-mango,10.3592,0.4708,76.42,77,100,3.8,TG,1689210366
306,bikenibeu village,1.3673,173.1241,85.96,74,40,6.91,KI,1689210366
307,tamanrasset,22.785,5.5228,78.71,14,20,4.61,DZ,1689210366
308,'ain el melh,34.8415,4.1638,84.4,24,1,7.23,DZ,1689210367
309,guajara mirim,-10.7828,-65.3394,76.68,57,7,2.04,BR,1689210290
310,manta,-0.95,-80.7333,80.01,78,40,18.01,EC,1689210249
311,roma,43.2128,-75.4557,71.73,73,0,4.61,US,1689210367
312,yung shue wan,22.2333,114.1167,90.34,75,96,2.68,HK,1689210367
313,celestun,20.8667,-90.4,83.93,76,29,19.89,MX,1689210367
314,kalymnos,36.95,26.9833,81.93,50,0,8.05,GR,1689210368
315,kruisfontein,-34.0033,24.7314,47.61,75,0,4.34,ZA,1689210368
